id	registry_id	decision	plain_hex	wire_hex	source_sha256	errata_sha256	requirement_ids	provenance_ids
core-standard-unpadded	core-config	accept	66	5a67	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-5-EXPLICIT-PADDING-OMISSION	base64-0.23.0;base64ct-1.8.3
core-url-padded	core-config	accept	fbff	2d5f383d	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-5-URL-SAFE-ALPHABET	base64-0.23.0;base64ct-1.8.3
core-url-unpadded	core-config	accept	fbff	2d5f38	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-5-URL-SAFE-ALPHABET;RFC4648-5-EXPLICIT-PADDING-OMISSION	base64-0.23.0;base64ct-1.8.3
core-bcrypt	core-config	accept	fbff	383936	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-4-24-TO-4X6	base64-0.23.0
core-crypt	core-config	accept	fbff	797a77	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-4-24-TO-4X6	base64-0.23.0
core-pbkdf2	core-config	accept	fbff	2e2f38	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-4-24-TO-4X6	base64ct-1.8.3
core-imap	core-config	accept	fbff	2b2c38	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-4-24-TO-4X6	base64-0.23.0
core-binhex	core-config	accept	fbff	71726d	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-4-24-TO-4X6	base64-0.23.0
core-padding-indifferent	core-config	accept	66	5a673d	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-3.2-MUST-PAD-BY-DEFAULT	base64-0.23.0
core-noncanonical-trailing	core-config	accept	66	5a683d3d	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-3.5-MAY-REJECT-NONCANONICAL	base64-0.23.0
core-full-compatibility	core-config	accept	66	5a683d	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-3.2-MUST-PAD-BY-DEFAULT;RFC4648-3.5-MAY-REJECT-NONCANONICAL	base64-0.23.0
